level_1,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,total_items,coverage,rule_set
5979,"frozenset({'standard_of_living_index_3', 'wife_edu_2'})",frozenset({'husband_occupation_4'}),0.010638297872340425,0.05319148936170213,0.010638297872340425,1.0,18.8,0.010072430964237211,inf,0.9569892473118279,3,0.010638297872340425,"frozenset({'husband_occupation_4', 'standard_of_living_index_3', 'wife_edu_2'})"
5981,"frozenset({'wife_age_(26.0, 32.0]', 'standard_of_living_index_3'})",frozenset({'husband_occupation_4'}),0.010638297872340425,0.05319148936170213,0.010638297872340425,1.0,18.8,0.010072430964237211,inf,0.9569892473118279,3,0.010638297872340425,"frozenset({'husband_occupation_4', 'wife_age_(26.0, 32.0]', 'standard_of_living_index_3'})"
11427,"frozenset({'standard_of_living_index_3', 'num_children_(2.0, 3.0]'})","frozenset({'edu_interaction_(12.0, 16.0]'})",0.010638297872340425,0.05319148936170213,0.010638297872340425,1.0,18.8,0.010072430964237211,inf,0.9569892473118279,3,0.010638297872340425,"frozenset({'standard_of_living_index_3', 'edu_interaction_(12.0, 16.0]', 'num_children_(2.0, 3.0]'})"
11985,"frozenset({'edu_interaction_(12.0, 16.0]'})",frozenset({'wife_edu_4'}),0.05319148936170213,0.05319148936170213,0.05319148936170213,1.0,18.8,0.050362154821186056,inf,1.0,2,0.05319148936170213,"frozenset({'edu_interaction_(12.0, 16.0]', 'wife_edu_4'})"
11986,frozenset({'wife_edu_4'}),"frozenset({'edu_interaction_(12.0, 16.0]'})",0.05319148936170213,0.05319148936170213,0.05319148936170213,1.0,18.8,0.050362154821186056,inf,1.0,2,0.05319148936170213,"frozenset({'edu_interaction_(12.0, 16.0]', 'wife_edu_4'})"
11989,"frozenset({'edu_interaction_(12.0, 16.0]', 'husband_edu_4'})",frozenset({'wife_edu_4'}),0.05319148936170213,0.05319148936170213,0.05319148936170213,1.0,18.8,0.050362154821186056,inf,1.0,3,0.05319148936170213,"frozenset({'edu_interaction_(12.0, 16.0]', 'wife_edu_4', 'husband_edu_4'})"
11990,"frozenset({'wife_edu_4', 'husband_edu_4'})","frozenset({'edu_interaction_(12.0, 16.0]'})",0.05319148936170213,0.05319148936170213,0.05319148936170213,1.0,18.8,0.050362154821186056,inf,1.0,3,0.05319148936170213,"frozenset({'edu_interaction_(12.0, 16.0]', 'wife_edu_4', 'husband_edu_4'})"
11991,"frozenset({'edu_interaction_(12.0, 16.0]'})","frozenset({'wife_edu_4', 'husband_edu_4'})",0.05319148936170213,0.05319148936170213,0.05319148936170213,1.0,18.8,0.050362154821186056,inf,1.0,3,0.05319148936170213,"frozenset({'edu_interaction_(12.0, 16.0]', 'wife_edu_4', 'husband_edu_4'})"
11992,frozenset({'wife_edu_4'}),"frozenset({'edu_interaction_(12.0, 16.0]', 'husband_edu_4'})",0.05319148936170213,0.05319148936170213,0.05319148936170213,1.0,18.8,0.050362154821186056,inf,1.0,3,0.05319148936170213,"frozenset({'edu_interaction_(12.0, 16.0]', 'wife_edu_4', 'husband_edu_4'})"
11994,"frozenset({'edu_interaction_(12.0, 16.0]', 'num_children_(2.0, 3.0]'})",frozenset({'wife_edu_4'}),0.031914893617021274,0.05319148936170213,0.031914893617021274,1.0,18.8,0.030217292892711634,inf,0.9780219780219781,3,0.031914893617021274,"frozenset({'edu_interaction_(12.0, 16.0]', 'num_children_(2.0, 3.0]', 'wife_edu_4'})"
11995,"frozenset({'wife_edu_4', 'num_children_(2.0, 3.0]'})","frozenset({'edu_interaction_(12.0, 16.0]'})",0.031914893617021274,0.05319148936170213,0.031914893617021274,1.0,18.8,0.030217292892711634,inf,0.9780219780219781,3,0.031914893617021274,"frozenset({'wife_edu_4', 'num_children_(2.0, 3.0]', 'edu_interaction_(12.0, 16.0]'})"
12003,"frozenset({'standard_of_living_index_4', 'edu_interaction_(12.0, 16.0]'})",frozenset({'wife_edu_4'}),0.02127659574468085,0.05319148936170213,0.02127659574468085,1.0,18.8,0.020144861928474422,inf,0.9673913043478262,3,0.02127659574468085,"frozenset({'standard_of_living_index_4', 'edu_interaction_(12.0, 16.0]', 'wife_edu_4'})"
12004,"frozenset({'standard_of_living_index_4', 'wife_edu_4'})","frozenset({'edu_interaction_(12.0, 16.0]'})",0.02127659574468085,0.05319148936170213,0.02127659574468085,1.0,18.8,0.020144861928474422,inf,0.9673913043478262,3,0.02127659574468085,"frozenset({'standard_of_living_index_4', 'edu_interaction_(12.0, 16.0]', 'wife_edu_4'})"
