Cluster,Rule,Rule Coverage,Cluster Mean Coverage,Coverage Difference from Mean,Abs Coverage Difference
4,"frozenset({'standard_of_living_index_4', 'edu_interaction_(12.0, 16.0]'})",0.4963235294117647,0.21212121212121215,0.28420231729055256,0.28420231729055256
4,"frozenset({'Cluster_(3.0, 4.0]', 'standard_of_living_index_4', 'edu_interaction_(12.0, 16.0]'})",0.4963235294117647,0.21212121212121215,0.28420231729055256,0.28420231729055256
4,"frozenset({'Cluster_(3.0, 4.0]', 'standard_of_living_index_4', 'edu_interaction_(12.0, 16.0]'})",0.4963235294117647,0.21212121212121215,0.28420231729055256,0.28420231729055256
3,"frozenset({'standard_of_living_index_4', 'edu_interaction_(12.0, 16.0]'})",0.4280821917808219,0.168161556860187,0.2599206349206349,0.2599206349206349
3,"frozenset({'husband_occupation_3', 'edu_interaction_(6.0, 12.0]'})",0.4257990867579909,0.168161556860187,0.25763752989780386,0.25763752989780386
3,"frozenset({'standard_of_living_index_3', 'edu_interaction_(6.0, 12.0]'})",0.3904109589041096,0.168161556860187,0.2222494020439226,0.2222494020439226
3,"frozenset({'husband_occupation_3', 'edu_interaction_(6.0, 12.0]'})",0.3904109589041096,0.168161556860187,0.2222494020439226,0.2222494020439226
6,"frozenset({'standard_of_living_index_4', 'husband_occupation_2', 'age_children_interaction_(87.0, 164.0]'})",0.40298507462686567,0.19734660033167495,0.20563847429519072,0.20563847429519072
1,"frozenset({'standard_of_living_index_3', 'age_children_interaction_(164.0, 768.0]'})",0.43564356435643564,0.2301980198019802,0.20544554455445543,0.20544554455445543
4,"frozenset({'standard_of_living_index_4', 'edu_interaction_(12.0, 16.0]'})",0.39705882352941174,0.21212121212121215,0.1849376114081996,0.1849376114081996
4,"frozenset({'standard_of_living_index_4', 'Cluster_(3.0, 4.0]', 'edu_interaction_(12.0, 16.0]'})",0.39705882352941174,0.21212121212121215,0.1849376114081996,0.1849376114081996
4,"frozenset({'standard_of_living_index_4', 'Cluster_(3.0, 4.0]', 'edu_interaction_(12.0, 16.0]'})",0.39705882352941174,0.21212121212121215,0.1849376114081996,0.1849376114081996
6,"frozenset({'Cluster_(4.0, 6.0]', 'age_children_interaction_(87.0, 164.0]', 'husband_occupation_2'})",0.373134328358209,0.19734660033167495,0.17578772802653403,0.17578772802653403
6,"frozenset({'Cluster_(4.0, 6.0]', 'age_children_interaction_(87.0, 164.0]', 'husband_occupation_2'})",0.373134328358209,0.19734660033167495,0.17578772802653403,0.17578772802653403
6,"frozenset({'standard_of_living_index_4', 'age_children_interaction_(87.0, 164.0]', 'husband_occupation_2'})",0.373134328358209,0.19734660033167495,0.17578772802653403,0.17578772802653403
6,"frozenset({'husband_occupation_2', 'age_children_interaction_(87.0, 164.0]'})",0.373134328358209,0.19734660033167495,0.17578772802653403,0.17578772802653403
3,"frozenset({'standard_of_living_index_4', 'edu_interaction_(12.0, 16.0]'})",0.3333333333333333,0.168161556860187,0.16517177647314632,0.16517177647314632
1,"frozenset({'age_children_interaction_(164.0, 768.0]', 'standard_of_living_index_3', 'husband_occupation_2'})",0.06930693069306931,0.2301980198019802,-0.1608910891089109,0.1608910891089109
3,"frozenset({'edu_interaction_(6.0, 12.0]', 'standard_of_living_index_3'})",0.3287671232876712,0.168161556860187,0.16060556642748422,0.16060556642748422
6,"frozenset({'age_children_interaction_(164.0, 768.0]', 'standard_of_living_index_4', 'husband_occupation_2'})",0.04477611940298507,0.19734660033167495,-0.15257048092868988,0.15257048092868988
6,"frozenset({'standard_of_living_index_4', 'husband_occupation_2', 'age_children_interaction_(42.0, 87.0]'})",0.04477611940298507,0.19734660033167495,-0.15257048092868988,0.15257048092868988
6,"frozenset({'husband_occupation_2', 'edu_interaction_(12.0, 16.0]', 'age_children_interaction_(42.0, 87.0]'})",0.04477611940298507,0.19734660033167495,-0.15257048092868988,0.15257048092868988
4,"frozenset({'standard_of_living_index_4', 'husband_occupation_2', 'edu_interaction_(12.0, 16.0]'})",0.07352941176470588,0.21212121212121215,-0.13859180035650626,0.13859180035650626
6,"frozenset({'edu_interaction_(6.0, 12.0]', 'standard_of_living_index_4', 'husband_occupation_2'})",0.05970149253731343,0.19734660033167495,-0.1376451077943615,0.1376451077943615
6,"frozenset({'edu_interaction_(6.0, 12.0]', 'standard_of_living_index_4', 'age_children_interaction_(87.0, 164.0]'})",0.05970149253731343,0.19734660033167495,-0.1376451077943615,0.1376451077943615
4,"frozenset({'edu_interaction_(6.0, 12.0]', 'husband_occupation_2'})",0.3492647058823529,0.21212121212121215,0.13714349376114077,0.13714349376114077
4,"frozenset({'edu_interaction_(6.0, 12.0]', 'Cluster_(3.0, 4.0]', 'husband_occupation_2'})",0.3492647058823529,0.21212121212121215,0.13714349376114077,0.13714349376114077
4,"frozenset({'edu_interaction_(6.0, 12.0]', 'Cluster_(3.0, 4.0]', 'husband_occupation_2'})",0.3492647058823529,0.21212121212121215,0.13714349376114077,0.13714349376114077
4,"frozenset({'husband_occupation_3', 'standard_of_living_index_3', 'edu_interaction_(12.0, 16.0]'})",0.07720588235294118,0.21212121212121215,-0.13491532976827098,0.13491532976827098
6,"frozenset({'standard_of_living_index_4', 'age_children_interaction_(87.0, 164.0]', 'husband_occupation_2'})",0.3283582089552239,0.19734660033167495,0.13101160862354894,0.13101160862354894
